Стипонски Манастир, Манастир, 8174370059, 41.0555999, 20.9615307
Манастир Св. Ѓорѓи, Манастир, 3631617425, 41.6457968, 22.5086272
Болненски Манастир, Манастир, 8174310175, 41.0884556, 20.98782
Vardarski Rid, Музеј, 9241915460, 41.1488082, 22.5220207
Манастир „Свети Наум“, Манастир, 1896338752, 40.913963, 20.7404962
Калата, Археолошки локалитет, 6471416045, 41.9856377, 22.5905605
Манастир Св. Богородица Елеуса, Манастир, 3263433907, 41.4748537, 22.5651714
Roman Bathhouse, Археолошки локалитет, 5728312945, 41.3825161, 22.7542141
Музеј на македонската борба, Музеј, 1831127085, 41.9982848, 21.4329425
Манастир Св. Архангели, Манастир, 2008337647, 42.1322905, 21.4137215
Нов Лешочки Манастир, Манастир, 9080815363, 42.0660719, 21.0265836
Сулдуречки Манастир, Манастир, 4124148589, 41.5810694, 22.4827019
Rimska crkva, Археолошки локалитет, 1475328742, 42.0586697, 21.3527926
Куќа на Робевци, Музеј, 534925163, 41.112361, 20.7961416
Манастир Св. Харалампие, Манастир, 8195554118, 41.9866198, 22.4818406
Св. Никола, Археолошки локалитет, 2005088543, 41.5187364, 21.3507412
Museum Teracotta, Музеј, 1272898175, 41.8841902, 22.5049622
Geoglif Sv. Nikole, Археолошки локалитет, 6348154463, 41.8300273, 21.9563597
Кошински Манастир, Манастир, 9688462148, 41.4650209, 21.2941027
св. Тројица, Манастир, 4498536257, 42.1028052, 21.3784397
св. Тројица, Манастир, 4498536259, 42.1028549, 21.3780749
Лихнид, Археолошки локалитет, 390757439, 41.1155576, 20.7914836
Врбоечки Манастир, Манастир, 10060055002, 41.3343612, 21.2942502
Пешта, Археолошки локалитет, 8355844800, 41.0887869, 21.7446621
Св. Богородица Балаклија - манастир, Манастир, 3695321380, 41.9659677, 22.7595526
Зрзески Манастир, Манастир, 8152033565, 41.5207132, 21.3416387
Браиловски Манастир, Манастир, 3414825546, 41.466849, 21.4629407
Костоперска Карпа, Археолошки локалитет, 1879436069, 42.1706665, 21.809838
