Name, Type, Id, Lon, Lat
Св. Георгиј, null, 7512268449, 41.2201693, 21.6861354
Дуњски Манастир II, null, 7512268453, 41.2206561, 21.6863508
Св. Атанасиј, null, 7623493363, 41.3623637, 21.6194965
Успение на Пресвета Богородица, null, 2535151449, 41.4182976, 22.0180718
Св. Атанас, null, 1475331128, 42.0598924, 21.2983618
Св. Никола, null, 10060054922, 41.3374324, 21.2977562
Музеј на град Делчево, null, 3695988841, 41.9664768, 22.7729986
Св. Богородица, null, 4701971554, 42.0120452, 20.9599456
Св. Јован Крстител, null, 1867293179, 41.9930029, 21.4099171
Нова џамија во Теново, null, 3039791647, 41.8922406, 20.9782737
Св. Атанасиј, null, 3413249511, 41.3594263, 21.532549
Св. Архангел Михаил, null, 3413249515, 41.3603981, 21.5343815
Евагелистичка Методистичка Црква, null, 1881071582, 41.9965678, 21.4235502
Св. Архангел Михаил, null, 5115421420, 41.1172494, 20.7948455
Црква „Свети Илија„, null, 5469804185, 41.1827523, 20.7990502
Св. Петка, null, 1475356446, 42.0493212, 21.3388559
Св. Атанас, null, 1475356449, 42.0500064, 21.339328
Св. Спас, null, 1878595364, 41.9946257, 21.5030458
Народен Музеј, null, 7830690526, 41.8649413, 21.9418167
Манастир Св. Петка с. Бродец, null, 6700534386, 41.7638744, 20.6722663
Рождество на Пресвета Богородица, null, 7668777834, 41.2509491, 21.2262288
Црква Свети 40 Севастиски Маченици, null, 5918012582, 41.1130973, 20.7941338
Св. Петка, null, 8442374497, 42.1483664, 21.121456
Св.Петка, null, 2592611970, 41.9289057, 21.5229042
Св. Никола, null, 8359004971, 41.2168233, 21.5047732
Св.Талалеј, null, 4096010414, 42.0252181, 21.5652272
Успение на Пресвета Богородица, null, 8359004991, 41.2169792, 21.5050294
Св. Никита, null, 1734617087, 42.1076532, 21.3799578
Манастир Св. Илија, null, 1939982576, 42.0855955, 21.4093975
Св. Илија, null, 7503100669, 41.2484212, 21.6077266
Православна црква "Свети Илија", null, 7416200113, 41.6444402, 22.4565993
Св. Константин и Елена, null, 10604556726, 42.014885, 21.4508171
Црква „Свети Никола“, null, 7832684462, 41.8662753, 21.9422154
Св. Георгиј, null, 3617056231, 40.9860455, 21.0850433
Св. Троица, null, 5327471601, 41.006774, 21.3415263
Црква Св. Николе, null, 3687056616, 41.6645167, 20.7334014
Св. Богородица Захумска, null, 6649560685, 40.9488827, 20.7743745
Св. Ѓорѓија, null, 2081954168, 42.0243087, 21.6759664
Св. Никола, null, 10604556710, 42.0220621, 21.4402421
Св. Три Светители, null, 10176283839, 41.9900936, 21.4469079
Св. Ѓорѓија, null, 6327921348, 41.3390523, 22.2545875
Црква „Рождество на Пресвета Богородица“, null, 3668592669, 41.9769543, 21.408415
Св. Спас, null, 8412431217, 41.3649933, 20.649378
Св. Петка, null, 8412431221, 41.3627536, 20.6466677
Св. Никола, null, 2483419503, 41.2486746, 21.3947772
Saint Varvara, null, 8259818971, 41.1136648, 20.7938384
Св. Преображение, null, 7626669736, 41.3437815, 21.5567708
Успение на Пресвета Богородица, null, 8174280328, 41.1106907, 21.0021113
Св. Игнатиј Богоносец, null, 8174280333, 41.1108408, 21.0022209
с.в Наум Охридски, null, 1850562883, 42.0550347, 21.4554709
Church, null, 9789628417, 41.9187645, 22.0642612
Св. Никола, null, 4842170821, 41.1249175, 20.8534916
Успение на Пресвета Богородица, null, 10065893609, 41.3347409, 21.2937247
Св. Димитириј Солунски, null, 8354162390, 41.33659, 21.7760619
Auto and etno museum "Filip", null, 10932198705, 41.0748026, 21.3299172
Црква „Св. Великомаченик Георгиј“, null, 2884502205, 41.9783403, 21.496101
Црква „Рождество на Пресвета Богородица“ - Ново Лисиче, null, 2884502204, 41.9858681, 21.4684081
Св. Атанасиј, null, 8410136587, 41.4043406, 21.2934539
