5728312945;Roman Bathhouse; Археолошки локалитет;41.3825161;22.7542141
1831127085;Музеј на македонската борба; Музеј;41.9982848;21.4329425
2008337647;Манастир Св. Архангели; Манастир;42.1322905;21.4137215
9080815363;Нов Лешочки Манастир; Манастир;42.0660719;21.0265836
4124148589;Сулдуречки Манастир; Манастир;41.5810694;22.4827019
1475328742;Rimska crkva; Археолошки локалитет;42.0586697;21.3527926
534925163;Куќа на Робевци; Музеј;41.112361;20.7961416
8195554118;Манастир Св. Харалампие; Манастир;41.9866198;22.4818406
2005088543;Св. Никола; Археолошки локалитет;41.5187364;21.3507412
1272898175;Museum Teracotta; Музеј;41.8841902;22.5049622
6348154463;Geoglif Sv. Nikole; Археолошки локалитет;41.8300273;21.9563597
9688462148;Кошински Манастир; Манастир;41.4650209;21.2941027
4498536257;св. Тројица; Манастир;42.1028052;21.3784397
4498536259;св. Тројица; Манастир;42.1028549;21.3780749
390757439;Лихнид; Археолошки локалитет;41.1155576;20.7914836
10060055002;Врбоечки Манастир; Манастир;41.3343612;21.2942502
8355844800;Пешта; Археолошки локалитет;41.0887869;21.7446621
3695321380;Св. Богородица Балаклија - манастир; Манастир;41.9659677;22.7595526
8152033565;Зрзески Манастир; Манастир;41.5207132;21.3416387
3414825546;Браиловски Манастир; Манастир;41.466849;21.4629407
1879436069;Костоперска Карпа; Археолошки локалитет;42.1706665;21.809838
370404760;Музеј на современата уметност; Музеј;42.0043142;21.4325172
4817137480;Манастир Св. 15 Маченици; Манастир;41.4300424;22.6409328
364977606;Скупи; Археолошки локалитет;42.0150515;21.3942891
1475333182;Мала Кула - Кучково; Археолошки локалитет;42.0585741;21.2844339
1475333181;Голема Кула - Кучково; Археолошки локалитет;42.0587494;21.2786993
10647622855;Меморијален музеј Народен херој Кузман Јосифоски-Питу; Музеј;41.3424673;21.5597305
5699016423;Eтнолошки музеј; Музеј;41.0240503;21.0506131
8181359649;Будинаречки Манастир; Манастир;41.0374743;21.742411
7373522743;Света Недела; Манастир;41.7503884;22.2211631
8582635870;Goce Delchev Memorial House; Музеј;41.0268197;21.3320703
8294603434;Никодински Манастир; Манастир;41.439082;21.7432323
6448580245;Бигорски Манастир; Манастир;41.6207798;20.6094915
10597135861;Мучеинци; Археолошки локалитет;41.2018152;21.400072
7924913575;Старо Село; Манастир;40.961945;21.3529929
10597135857;Лознански Манастир; Манастир;41.2023548;21.4005799
2381997483;Isar-Marvinci; Археолошки локалитет;41.2780309;22.4935572
8155709902;Лавчански Манастир; Манастир;41.0486478;20.96855
1879222983;Марков Манастир; Манастир;41.8935685;21.4019815
8850721020;Довлеџички Манастир; Манастир;41.0368351;21.3017797
4401249389;Беловодички Манастир; Манастир;41.3403588;21.6893085
4346059294;Музеј на Македонија; Музеј;42.003194;21.4363088
7925028160;Велушински Манастир; Манастир;40.9276323;21.3397507
2317947141;Крушевски Манастир; Манастир;41.3566728;21.266672
10647549733;Музеј на Битола; Музеј;41.0234533;21.3359067
11291307339;Спомен-куќа на Татарчеви; Музеј;41.0884486;21.0137165
1932828083;Манастир Св. Богородица; Манастир;42.125697;21.4277654
7557498584;Ленишки Манастир; Манастир;41.3579928;21.62686
9357425538;Манастир Св.Илија Петти Кладенци; Манастир;42.056071;21.9893252
3447148655;Строшки Манастир / Стровјански Манастир; Манастир;41.5688094;21.4077471
